49046068;SUNDVIK;CAMAS;849.0;
20404806;MALM;CAMAS;1595.0;
9186126;HEMNES;CAMAS;2185.0;
70362427;SOLGUL;CAMAS;395.0;
102452;MYDAL;CAMAS;795.0;
40349847;NORDLI;CAMAS;1595.0;
30099293;VIKARE;CAMAS;95.0;
70426537;DELAKTIG;CAMAS;595.0;
90299449;TUFFING;CAMAS;645.0;
39277498;VALLENTUNA;CAMAS;1848.0;
40411410;VITVAL;CAMAS;200.0;
89302914;PLATSA;CAMAS;2307.0;
10453086;PLATSA;CAMAS;1195.0;
9324284;PLATSA;CAMAS;3339.0;
19302922;VITVAL;CAMAS;1590.0;
90229017;BUSUNGE;CAMAS;795.0;
80341496;NYHAMN;CAMAS;600.0;
228705;BRIMNES;CAMAS;1095.0;
29241160;SONGESAND;CAMAS;1245.0;
59167074;LAUVIK;CAMAS;2146.0;
89386070;SLÄKT;CAMAS;1260.0;
10247973;SVÄRTA;CAMAS;895.0;
99278070;VALLENTUNA;CAMAS;7796.0;
19166180;LYCKSELE MURBO;CAMAS;1445.0;
79288188;DELAKTIG;CAMAS;2595.0;
99302918;PLATSA;CAMAS;1767.0;
60433901;MARKERAD;CAMAS;267.0;
102065;LYCKSELE LÖVÅS;CAMAS;495.0;
39227837;UTÅKER;CAMAS;1285.0;
39041660;SUNDVIK;CAMAS;849.0;
59302915;PLATSA;CAMAS;2905.0;
60299691;BRYNILEN;CAMAS;30.0;
39279280;FYRESDAL;CAMAS;1139.0;
9149879;VALLENTUNA;CAMAS;1160.0;
19287530;DELAKTIG;CAMAS;1400.0;
400692;BRIMNES;CAMAS;220.0;
19326428;SLÄKT;CAMAS;520.0;
80332468;SUFFLETT;CAMAS;85.0;
90332458;KURA;CAMAS;175.0;
90338403;LÖVA;CAMAS;55.0;
99211621;HEMNES;CAMAS;2085.0;
20320128;FLEKKE;CAMAS;1495.0;
69304829;MARKERAD;CAMAS;1092.0;
99302975;PLATSA;CAMAS;2163.5;
50393830;KURA;CAMAS;149.0;
89275265;STUVA / FÖLJA;CAMAS;1915.0;
39288128;DELAKTIG;CAMAS;2495.0;
70340567;GRÄLVIKEN;CAMAS;1995.0;
89240761;HOLMSUND;CAMAS;2295.0;
59250756;LAUVIK;CAMAS;2902.0;
79253259;STUVA / FRITIDS;CAMAS;1990.0;
20247982;SVÄRTA;CAMAS;875.0;
9302913;PLATSA;CAMAS;1611.0;
29278101;GRÖNLID;CAMAS;3595.0;
80411272;VITVAL;CAMAS;1295.0;
49278591;GRÖNLID;CAMAS;7610.0;
19129932;BRIMNES;CAMAS;1795.0;
80362974;SLÄKT;CAMAS;295.0;
10372976;NORDLI;CAMAS;695.0;
69287537;DELAKTIG;CAMAS;2095.0;
257953;GONATT;CAMAS;1095.0;
20299688;BRENNÅSEN;CAMAS;30.0;
9217849;BRÅTHULT;CAMAS;1991.0;
19302917;PLATSA;CAMAS;2210.0;
59151271;SVÄRTA;CAMAS;1175.0;
9306435;NYHAMN;CAMAS;1445.0;
29277639;LIDHULT;CAMAS;9585.0;
40299687;BURFJORD;CAMAS;40.0;
49277105;VALLENTUNA;CAMAS;4488.0;
69302566;VITVAL;CAMAS;1195.0;
9278003;VALLENTUNA;CAMAS;5780.0;
19290014;LIDHULT;CAMAS;3340.0;
20426525;DELAKTIG;CAMAS;495.0;
10248519;GULLIVER;CAMAS;595.0;
60429471;DELAKTIG;CAMAS;200.0;
89300750;FLOTTEBO;CAMAS;2236.0;
29288100;DELAKTIG;CAMAS;1800.0;
49292686;VIMLE;CAMAS;4645.0;
49306443;NYHAMN;CAMAS;1295.0;
45932080;SULTAN;CAMAS;50.0;
10309616;BÅTSFJORD;CAMAS;30.0;
79186774;KONGSFJORD;CAMAS;8356.0;
99183864;FLEKKE;CAMAS;2185.0;
70248564;SUNDVIK;CAMAS;695.0;
79217902;SANDBACKEN;CAMAS;1841.0;
79150746;HOLMSUND;CAMAS;2995.0;
29277724;VALLENTUNA;CAMAS;4320.0;
59297481;FLOTTEBO;CAMAS;1596.0;
9306355;NYHAMN;CAMAS;1520.0;
20249896;SVÄRTA;CAMAS;300.0;
29266184;LIDHULT;CAMAS;7785.0;
29278158;GRÖNLID;CAMAS;4270.0;
49268653;STUVA / FRITIDS;CAMAS;2025.0;
60102067;LYCKSELE HÅVET;CAMAS;795.0;
248567;SUNDVIK;CAMAS;695.0;
60431563;FRIHETEN;CAMAS;1845.0;
29285521;VIMLE;CAMAS;2945.0;
89278481;GRÖNLID;CAMAS;4790.0;
70299695;BJORLI;CAMAS;40.0;
50456417;SLÄKT;CAMAS;75.0;
40296599;KURA;CAMAS;125.0;
10311228;KURA;CAMAS;125.0;
9277918;VALLENTUNA;CAMAS;4036.0;
19290603;LIDHULT;CAMAS;4841.0;
80309613;BRATTVÅG;CAMAS;50.0;
59277652;VALLENTUNA;CAMAS;2932.0;
69278415;GRÖNLID;CAMAS;4390.0;
80102066;LYCKSELE MURBO;CAMAS;695.0;
89253169;STUVA / FRITIDS;CAMAS;995.0;
10411242;VITVAL;CAMAS;995.0;
19285588;VIMLE;CAMAS;3355.0;
29297454;FLOTTEBO;CAMAS;1676.0;
99280884;LYCKSELE LÖVÅS;CAMAS;1345.0;
9278569;GRÖNLID;CAMAS;6110.0;
19299726;VIMLE;CAMAS;7765.0;
29257066;LIDHULT;CAMAS;4040.0;
39292465;VIMLE;CAMAS;4120.0;
69292275;VIMLE;CAMAS;4265.0;
79267280;STUVA / FRITIDS;CAMAS;995.0;
